流水號,名稱與備註,教授,學分,時間,教室,選修別,全與半,分發條件內容
00037LN0318-*,華語正音Chinese Pronunciation華語文教學學分學程選修課程,,2,二78/I-015,志希館-015,選修,半,[]
00038LN0605-A,華語聽說一Chinese Listening and Speaking I限華語程度為零起點初級之外籍生,張瑛,2,四AB/O-214,綜教館-214,選修,半,['學制:限學士班。身份:限外籍生。']
00039LN0605-B,華語聽說一Chinese Listening and Speaking I限華語程度為零起點初級之外籍生,楊亞璇,2,三AB/TR-A201,教研大樓-A201,選修,半,['學制:限學士班。身份:限外籍生。']
00040LN0605-C,華語聽說一Chinese Listening and Speaking I限華語程度為零起點初級之外籍生,楊亞璇,2,一AB/TR-A203,教研大樓-A203,選修,半,['學制:限學士班。身份:限外籍生。']
00041LN0606-A,華語聽說二Chinese Listening and Speaking II限華語程度為初級之外籍生,劉慧娟,2,三56/E1-136,工程二館-136,選修,半,['身份:限外籍生。']
00042LN0606-B,華語聽說二Chinese Listening and Speaking II限華語程度為初級之外籍生,范美媛,2,三AB/TR-A202,教研大樓-A202,選修,半,['身份:限外籍生。']
00043LN0607-*,華語聽說三Chinese Listening and Speaking III中文,陳慶萱,2,四AB/TR-A205,教研大樓-A205,選修,半,['身份:限外籍生。']
00084LN1028-*,進修英文Second Year English限未通過英文畢業門檻之大學部大四學生選修,黃淑芬,2,一AB/O-212,綜教館-212,選修,半,['學制:限學士班。']
00101LN7007-*,語料庫與華語教學Corpus and Teaching Chinese as a Second Language華語文教學學分學程選修課程,李明懿,3,五234/E1-130,工程二館-130,選修,半,[]
00102LN7008-*,漢字教學專題Special topics on Teaching of Chinese Characters華語文學分學程選修課程,劉慧娟,3,四89A/TR-A003,教研大樓-A003,選修,半,[]
01001PE1022-A,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,沈淑貞,0,一34/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限資訊工程學系。年級:限一年級。班別:限A。', '身份:限非交換生。']"
01002PE1022-B,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,,0,一56/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限財務金融學系。年級:限一年級。', '身份:限非交換生。']"
01003PE1022-C,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,陳政達,0,一56/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限經濟學系。年級:限一年級。', '身份:限非交換生。']"
01004PE1022-D,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,鄭貴中,0,四78/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限企業管理學系。年級:限一年級。班別:限A。', '身份:限非交換生。']"
01005PE1022-E,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,張桂菱,0,四78/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限企業管理學系。年級:限一年級。班別:限B。', '身份:限非交換生。']"
01006PE1022-F,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,林國威,0,三12/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限機械工程學系。年級:限一年級。班別:限B。', '身份:限非交換生。', '系所:限工學院學士班。年級:限一年級。學號:限單號。']"
01007PE1022-G,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,陳冠錦,0,二56/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限資訊電機學院學士班。年級:限一年級。學號:限單號。', '系所:限資訊管理學系。年級:限一年級。班別:限B。', '身份:限非交換生。']"
01008PE1022-H,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,黃相瑋,0,一34/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限資訊工程學系。年級:限一年級。班別:限B。', '身份:限非交換生。']"
01009PE1022-I,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,沈淑貞,0,二78/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限光電科學與工程學系。年級:限一年級。', '身份:限非交換生。']"
01010PE1022-J,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,,0,三12/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限中國文學系。年級:限一年級。', '身份:限非交換生。', '系所:限工學院學士班。年級:限一年級。學號:限雙號。']"
01011PE1022-K,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,陳政達,0,三34/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限英美語文學系。年級:限一年級。', '身份:限非交換生。']"
01012PE1022-L,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,黃相瑋,0,一78/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限物理學系。年級:限一年級。', '身份:限非交換生。']"
01013PE1022-M,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,劉振華,0,五12/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限機械工程學系。年級:限一年級。班別:限A。', '身份:限非交換生。']"
01014PE1022-N,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,吳文郁,0,五12/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限機械工程學系。年級:限一年級。班別:限C。', '身份:限非交換生。']"
01015PE1022-O,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,邱文聲,0,四12/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限化學學系。年級:限一年級。', '身份:限非交換生。', '系所:限理學院學士班。年級:限一年級。學號:限單號。', '身份:限非交換生。']"
01016PE1022-P,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,,0,四12/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限生命科學系。年級:限一年級。', '身份:限非交換生。', '系所:限理學院學士班。年級:限一年級。學號:限雙號。', '身份:限非交換生。']"
01017PE1022-Q,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,張哲千,0,二56/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限通訊工程學系。年級:限一年級。', '身份:限非交換生。', '系所:限資訊電機學院學士班。年級:限一年級。學號:限雙號。']"
01018PE1022-R,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,張桂菱,0,四34/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限土木工程學系。年級:限一年級。班別:限A。', '身份:限非交換生。']"
01019PE1022-S,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,陳冠錦,0,四56/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限地球科學學系。年級:限一年級。', '身份:限非交換生。']"
01020PE1022-T,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,余宏群,0,四34/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限資訊管理學系。年級:限一年級。班別:限A。', '身份:限非交換生。']"
01021PE1022-U,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,邱文聲,0,三78/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限電機工程學系。年級:限一年級。班別:限A。', '身份:限非交換生。']"
01022PE1022-V,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,吳治翰,0,三78/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限電機工程學系。年級:限一年級。班別:限B。', '身份:限非交換生。']"
01023PE1022-W,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,余宏群,0,三56/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限數學系。年級:限一年級。班別:限A。', '身份:限非交換生。']"
01024PE1022-X,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,吳文郁,0,五34/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限土木工程學系。年級:限一年級。班別:限B。', '身份:限非交換生。']"
01025PE1022-Y,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,林國威,0,五56/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限法國語文學系。年級:限一年級。', '身份:限非交換生。', '系所:限文學院學士班。年級:限一年級。', '身份:限非交換生。']"
01026PE1022-Z,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,鄭貴中,0,五56/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限數學系。年級:限一年級。班別:限B。', '身份:限非交換生。']"
01027PE1022-1,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,,0,五78/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限大氣科學學系。年級:限一年級。', '身份:限非交換生。', '系所:限生醫科學與工程學系。年級:限一年級。', '身份:限非交換生。']"
01028PE1022-2,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,林國威,0,五78/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限太空科學與工程學系。年級:限一年級。', '身份:限非交換生。', '系所:限地球科學學院學士班。年級:限一年級。', '身份:限非交換生。']"
01029PE1022-3,大一體育Freshman PE II重修大一體育請至體育室教學組拿密碼卡,吳治翰,0,五34/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限化學工程與材料工程學系。年級:限一年級。', '身份:限非交換生。']"
01030PE1022-4,大一體育Freshman PE II,,0,三56/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['系所:限客家語文暨社會科學學系。年級:限一年級。', '身份:限非交換生。']"
01031PE2051-A,籃球入門Basketball I限二三四年級未修過籃球入門者,陳冠錦,0,一56/YH-籃,體育館(依仁堂)-籃球館,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01032PE2051-B,籃球入門Basketball I限二三四年級未修過籃球入門者,陳冠錦,0,一78/YH-籃,體育館(依仁堂)-籃球館,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01033PE2051-C,籃球入門Basketball I限二三四年級未修過籃球入門者,陳冠錦,0,二78/YH-籃,體育館(依仁堂)-籃球館,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01034PE2051-D,籃球入門Basketball I限二三四年級未修過籃球入門者,陳冠錦,0,三56/YH-籃,體育館(依仁堂)-籃球館,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01035PE2051-E,籃球入門Basketball I限二三四年級未修過籃球入門者,陳冠錦,0,三78/YH-籃,體育館(依仁堂)-籃球館,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01036PE2071-A,排球入門Volleyball I限二三四年級未修過排球入門者,鄭貴中,0,一56/YH-排球,體育館(依仁堂)-排球館,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01037PE2071-B,排球入門Volleyball I限二三四年級未修過排球入門者,陳政達,0,二12/YH-排球,體育館(依仁堂)-排球館,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01038PE2071-C,排球入門Volleyball I限二三四年級未修過排球入門者,陳政達,0,二56/YH-排球,體育館(依仁堂)-排球館,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01039PE2071-D,排球入門Volleyball I限二三四年級未修過排球入門者,鄭貴中,0,四56/YH-排球,體育館(依仁堂)-排球館,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01040PE2081-*,排球競技Volleyball  II限二三四年級已修過排球入門且未修過排球競技者,陳政達,0,三56/YH-排球,體育館(依仁堂)-排球館,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。指定課程:必須擋修PE2071。', '學制:限學士班。年級:限二年級。指定課程:必須擋修PE2071。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。指定課程:必須擋修PE2071。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。指定課程:必須擋修PE4071。']"
01041PE2091-*,慢速壘球Slow Pitch Softball限二三四年級未修過慢速壘球者,邱文聲,0,二78/*-壘球,其他-壘球場,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01042PE2101-A,羽球入門Badminton I限二三四年級未修過羽球入門者,黃相瑋,0,二56/YH-YH-2,體育館(依仁堂)-羽球館,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01043PE2101-B,羽球入門Badminton I限二三四年級未修過羽球入門者,黃相瑋,0,二78/YH-YH-2,體育館(依仁堂)-羽球館,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01044PE2101-C,羽球入門Badminton I限二三四年級未修過羽球入門者,張哲千,0,三34/YH-YH-2,體育館(依仁堂)-羽球館,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01045PE2101-D,羽球入門Badminton I限二三四年級未修過羽球入門者,黃相瑋,0,三78/YH-YH-2,體育館(依仁堂)-羽球館,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01046PE2101-E,羽球入門Badminton I限二三四年級未修過羽球入門者,黃相瑋,0,四34/YH-YH-2,體育館(依仁堂)-羽球館,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01047PE2101-F,羽球入門Badminton I限二三四年級未修過羽球入門者,張哲千,0,四56/YH-YH-2,體育館(依仁堂)-羽球館,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01048PE2121-A,網球入門Tennis I限二三四年級未修過網球入門者,張哲千,0,一78/*-網球,其他-網球場,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01049PE2121-B,網球入門Tennis I限二三四年級未修過網球入門者,張哲千,0,三78/*-網球,其他-網球場,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01050PE2121-C,網球入門Tennis I限二三四年級未修過網球入門者,張哲千,0,四78/YH-網球,體育館(依仁堂)-網球場,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01051PE2151-*,高爾夫入門Golf I限二三四年級未修過高爾夫球者,陳政達,0,一34/YH-YH-1,體育館(依仁堂)-依仁堂,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01052PE2161-A,保齡球概論Bowling限二三四年級且未修過保齡球概論者,余宏群,0,五56/YH-YH-3,體育館(依仁堂)-體育室會議室,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01053PE2161-B,保齡球概論Bowling限二三四年級且未修過保齡球概論者,余宏群,0,五78/YH-YH-3,體育館(依仁堂)-體育室會議室,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01054PE2171-*,游泳概論Swimming限二三四年級未修過游泳概論之學生與課號PE,鄭貴中,0,一78/YH-YH-3,體育館(依仁堂)-體育室會議室,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01055PE2181-A,瑜珈術Yoga限二三四年級未修過瑜珈術之學生與課號PE,張桂菱,0,一34/YH-舞蹈,體育館(依仁堂)-舞蹈教室,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01056PE2181-B,瑜珈術Yoga限二三四年級未修過瑜珈術之學生與課號PE,張桂菱,0,五34/YH-舞蹈,體育館(依仁堂)-舞蹈教室,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01057PE2211-A,有氧舞蹈Aerobic Dance限二三四年級未修過有氧舞蹈之學生與課號PE,沈淑貞,0,二56/YH-韻律,體育館(依仁堂)-韻律教室,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01058PE2211-B,有氧舞蹈,沈淑貞,0,三56/YH-韻律,體育館(依仁堂)-韻律教室,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01059PE2231-A,拉丁有氧Latin Aerobic請著乾淨鞋子入場,沈淑貞,0,一78/YH-韻律,體育館(依仁堂)-韻律教室,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01060PE2231-B,拉丁有氧Latin Aerobic請著乾淨鞋子入場,沈淑貞,0,三34/YH-韻律,體育館(依仁堂)-韻律教室,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01061PE2241-*,柔道Judo限二三四年級未修過柔道之學生與課號PE,劉振華,0,五34/YH-柔道,體育館(依仁堂)-柔道教室,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01062PE2251-*,防身術Self,余宏群,0,二78/YH-柔道,體育館(依仁堂)-柔道教室,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01063PE2301-A,健身運動Power Exercise限二三四年級未修過健身運動之學生與課號PE,吳治翰,0,一34/*-健身,其他-健身教室,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01064PE2301-B,健身運動Power Exercise限二三四年級未修過健身運動之學生與課號PE,邱文聲,0,一78/*-健身,其他-健身教室,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01065PE2301-C,健身運動Power Exercise限二三四年級未修過健身運動之學生與課號PE,邱文聲,0,二56/*-健身,其他-健身教室,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01066PE2301-D,健身運動Power Exercise限二三四年級未修過健身運動之學生與課號PE,邱文聲,0,三34/*-健身,其他-健身教室,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
01067PE2301-E,健身運動Power Exercise限二三四年級未修過健身運動者,鄭貴中,0,三56/*-健身,其他-健身教室,必修,半,"['身份:限尚未修畢兩門大一體育及三門體育必修興趣選課之104學年(含)以後入學大三、大四生。', '學制:限學士班。年級:限二年級。', '身份:限修畢兩門大一體育及三門體育必修興趣選課者。']"
